onset	duration	trial_type	event_value	event_sample
13.475	0.0	stimulus33	33	16170
14.3575	0.0	CueLeftOrient	127	17229
15.99	0.0	Probe6	136	19188
18.023333333333333	0.0	stimulus21	21	21628
18.9225	0.0	CueRightOrient	129	22707
20.555	0.0	Probe3	133	24666
22.571666666666665	0.0	stimulus4	4	27086
23.4375	0.0	CueLeftOrient	127	28125
25.036666666666665	0.0	Probe5	135	30044
27.0025	0.0	stimulus10	10	32403
27.919166666666666	0.0	CueLeftOrient	127	33503
29.501666666666665	0.0	Probe2	132	35402
31.685	0.0	stimulus50	50	38022
32.600833333333334	0.0	CueLeftOrient	127	39121
34.233333333333334	0.0	Probe7	138	41080
36.233333333333334	0.0	stimulus17	17	43480
37.149166666666666	0.0	CueRightSF	128	44579
38.79833333333333	0.0	Probe2	132	46558
41.130833333333335	0.0	stimulus8	8	49357
42.01416666666667	0.0	CueLeftSF	126	50417
43.596666666666664	0.0	Probe3	133	52316
45.59583333333333	0.0	stimulus48	48	54715
46.52916666666667	0.0	CueLeftSF	126	55835
48.095	0.0	Probe6	136	57714
50.3275	0.0	stimulus90	90	60393
51.244166666666665	0.0	CueLeftSF	126	61493
52.89333333333333	0.0	Probe2	132	63472
55.325833333333335	0.0	stimulus115	115	66391
56.25833333333333	0.0	CueRightOrient	129	67510
57.875	0.0	Probe7	138	69450
60.12416666666667	0.0	stimulus36	36	72149
61.056666666666665	0.0	CueRightSF	128	73268
62.64	0.0	Probe2	132	75168
64.85583333333334	0.0	stimulus24	24	77827
65.72166666666666	0.0	CueRightOrient	129	78866
67.37083333333334	0.0	Probe7	138	80845
69.47083333333333	0.0	stimulus16	16	83365
70.37	0.0	CueRightSF	128	84444
72.0025	0.0	Probe4	134	86403
74.1025	0.0	stimulus66	66	88923
75.035	0.0	CueRightSF	128	90042
76.60083333333333	0.0	Probe2	132	91921
78.86666666666666	0.0	stimulus8	8	94640
79.78333333333333	0.0	CueRightSF	128	95740
81.41583333333334	0.0	Probe1	131	97699
83.79833333333333	0.0	stimulus60	60	100558
84.68166666666667	0.0	CueRightOrient	129	101618
86.31416666666667	0.0	Probe5	135	103577
88.46333333333334	0.0	stimulus4	4	106156
89.36333333333333	0.0	CueRightSF	128	107236
90.99583333333334	0.0	Probe3	133	109195
93.245	0.0	stimulus105	105	111894
94.16083333333333	0.0	CueRightSF	128	112993
95.79416666666667	0.0	Probe2	132	114953
97.94333333333333	0.0	stimulus48	48	117532
98.8425	0.0	CueLeftSF	126	118611
100.4425	0.0	Probe3	133	120531
103.62416666666667	0.0	stimulus92	92	124349
104.52416666666667	0.0	CueLeftSF	126	125429
106.14	0.0	Probe8	140	127368
108.25583333333333	0.0	stimulus38	38	129907
109.1725	0.0	CueRightOrient	129	131007
110.805	0.0	Probe1	131	132966
112.80416666666666	0.0	stimulus6	6	135365
113.6875	0.0	CueLeftOrient	127	136425
115.27	0.0	Probe7	138	138324
117.2525	0.0	stimulus16	16	140703
118.13583333333334	0.0	CueLeftOrient	127	141763
119.76833333333333	0.0	Probe4	134	143722
121.80083333333333	0.0	stimulus39	39	146161
122.6675	0.0	CueLeftSF	126	147201
124.28333333333333	0.0	Probe4	134	149140
126.4825	0.0	stimulus60	60	151779
127.38166666666666	0.0	CueRightOrient	129	152858
128.965	0.0	Probe8	140	154758
131.08083333333335	0.0	stimulus60	60	157297
131.9475	0.0	CueRightSF	128	158337
133.56333333333333	0.0	Probe2	132	160276
135.82916666666668	0.0	stimulus120	120	162995
136.7125	0.0	CueLeftOrient	127	164055
138.32833333333335	0.0	Probe7	138	165994
140.74416666666667	0.0	stimulus88	88	168893
141.61	0.0	CueLeftOrient	127	169932
143.1925	0.0	Probe5	135	171831
145.47583333333333	0.0	stimulus100	100	174571
146.39166666666668	0.0	CueLeftOrient	127	175670
147.9575	0.0	Probe4	134	177549
150.1075	0.0	stimulus57	57	180129
151.02333333333334	0.0	CueLeftOrient	127	181228
152.58916666666667	0.0	Probe4	134	183107
154.73833333333334	0.0	stimulus24	24	185686
155.62166666666667	0.0	CueRightSF	128	186746
157.25416666666666	0.0	Probe2	132	188705
159.80333333333334	0.0	stimulus84	84	191764
160.75333333333333	0.0	CueRightOrient	129	192904
162.3525	0.0	Probe4	134	194823
164.50166666666667	0.0	stimulus42	42	197402
165.385	0.0	CueRightOrient	129	198462
167.00083333333333	0.0	Probe6	136	200401
169.31666666666666	0.0	stimulus30	30	203180
170.24916666666667	0.0	CueLeftSF	126	204299
171.8325	0.0	Probe4	134	206199
