onset	duration	trial_type	event_value	event_sample
10.750833333333333	0.0	stimulus45	45	12901
11.684166666666666	0.0	CueRightSF	128	14021
13.316666666666666	0.0	Probe7	138	15980
15.2325	0.0	stimulus40	40	18279
16.115833333333335	0.0	CueLeftOrient	127	19339
17.715	0.0	Probe5	135	21258
19.5975	0.0	stimulus8	8	23517
20.464166666666667	0.0	CueLeftOrient	127	24557
22.113333333333333	0.0	Probe4	134	26536
24.1125	0.0	stimulus23	23	28935
24.9625	0.0	CueLeftOrient	127	29955
26.611666666666668	0.0	Probe8	140	31934
28.5275	0.0	stimulus52	52	34233
29.46	0.0	CueLeftSF	126	35352
31.076666666666668	0.0	Probe4	134	37292
33.0425	0.0	stimulus120	120	39651
33.975	0.0	CueRightOrient	129	40770
35.59166666666667	0.0	Probe2	132	42710
37.590833333333336	0.0	stimulus38	38	45109
38.5075	0.0	CueLeftOrient	127	46209
40.10666666666667	0.0	Probe2	132	48128
42.155833333333334	0.0	stimulus5	5	50587
43.038333333333334	0.0	CueRightOrient	129	51646
44.62166666666667	0.0	Probe3	133	53546
46.5875	0.0	stimulus28	28	55905
47.47083333333333	0.0	CueRightSF	128	56965
49.053333333333335	0.0	Probe7	138	58864
50.9525	0.0	stimulus24	24	61143
51.9025	0.0	CueRightOrient	129	62283
53.485	0.0	Probe7	138	64182
55.48416666666667	0.0	stimulus68	68	66581
56.40083333333333	0.0	CueRightOrient	129	67681
58.03333333333333	0.0	Probe5	135	69640
60.06583333333333	0.0	stimulus46	46	72079
60.99916666666667	0.0	CueRightSF	128	73199
62.615	0.0	Probe6	136	75138
64.5475	0.0	stimulus80	80	77457
65.46416666666667	0.0	CueLeftSF	126	78557
67.08	0.0	Probe2	132	80496
69.14583333333333	0.0	stimulus28	28	82975
70.0125	0.0	CueRightSF	128	84015
71.57833333333333	0.0	Probe4	134	85894
73.74416666666667	0.0	stimulus4	4	88493
74.61083333333333	0.0	CueRightSF	128	89533
76.17666666666666	0.0	Probe3	133	91412
78.92583333333333	0.0	stimulus42	42	94711
79.80833333333334	0.0	CueRightSF	128	95770
81.42416666666666	0.0	Probe6	136	97709
83.32416666666667	0.0	stimulus6	6	99989
84.25666666666666	0.0	CueLeftSF	126	101108
85.8225	0.0	Probe3	133	102987
88.72166666666666	0.0	stimulus28	28	106466
89.67166666666667	0.0	CueRightSF	128	107606
91.25416666666666	0.0	Probe4	134	109505
93.22	0.0	stimulus110	110	111864
94.17	0.0	CueLeftSF	126	113004
95.73583333333333	0.0	Probe4	134	114883
98.06833333333333	0.0	stimulus55	55	117682
98.95166666666667	0.0	CueLeftSF	126	118742
100.60083333333333	0.0	Probe2	132	120721
102.65	0.0	stimulus42	42	123180
103.5825	0.0	CueRightSF	128	124299
105.16583333333334	0.0	Probe6	136	126199
107.14833333333333	0.0	stimulus16	16	128578
108.0975	0.0	CueLeftOrient	127	129717
109.6975	0.0	Probe1	131	131637
111.66333333333333	0.0	stimulus38	38	133996
112.59666666666666	0.0	CueRightOrient	129	135116
114.2125	0.0	Probe4	134	137055
116.22833333333334	0.0	stimulus39	39	139474
117.16166666666666	0.0	CueRightOrient	129	140594
118.84416666666667	0.0	Probe3	133	142613
120.81	0.0	stimulus4	4	144972
121.69333333333333	0.0	CueLeftSF	126	146032
123.35916666666667	0.0	Probe2	132	148031
125.44166666666666	0.0	stimulus42	42	150530
126.3575	0.0	CueRightOrient	129	151629
127.92416666666666	0.0	Probe4	134	153509
129.94	0.0	stimulus16	16	155928
130.83916666666667	0.0	CueLeftSF	126	157007
132.4725	0.0	Probe4	134	158967
134.78833333333333	0.0	stimulus3	3	161746
135.6375	0.0	CueLeftOrient	127	162765
137.20333333333335	0.0	Probe2	132	164644
139.45333333333335	0.0	stimulus96	96	167344
140.31916666666666	0.0	CueRightSF	128	168383
141.90166666666667	0.0	Probe6	136	170282
143.85166666666666	0.0	stimulus22	22	172622
144.7675	0.0	CueLeftSF	126	173721
146.40083333333334	0.0	Probe5	135	175681
148.33333333333334	0.0	stimulus80	80	178000
149.2325	0.0	CueRightOrient	129	179079
150.8825	0.0	Probe2	132	181059
152.865	0.0	stimulus15	15	183438
153.71416666666667	0.0	CueRightOrient	129	184457
155.33	0.0	Probe2	132	186396
157.34666666666666	0.0	stimulus34	34	188816
158.27916666666667	0.0	CueRightOrient	129	189935
159.86166666666668	0.0	Probe3	133	191834
161.77833333333334	0.0	stimulus65	65	194134
162.6775	0.0	CueRightOrient	129	195213
164.24333333333334	0.0	Probe3	133	197092
166.19333333333333	0.0	stimulus18	18	199432
167.10916666666665	0.0	CueLeftOrient	127	200531
168.75916666666666	0.0	Probe6	136	202511
170.575	0.0	stimulus20	20	204690
