onset	duration	trial_type	event_value	event_sample
9.9475	0.0	stimulus69	69	11937
10.830833333333333	0.0	CueLeftSF	126	12997
12.413333333333334	0.0	Probe7	138	14896
16.278333333333332	0.0	stimulus85	85	19534
17.211666666666666	0.0	CueRightOrient	129	20654
18.8275	0.0	Probe4	134	22593
20.843333333333334	0.0	stimulus39	39	25012
21.793333333333333	0.0	CueLeftOrient	127	26152
23.359166666666667	0.0	Probe1	131	28031
27.5575	0.0	stimulus115	115	33069
28.423333333333332	0.0	CueLeftSF	126	34108
30.04	0.0	Probe5	135	36048
32.1725	0.0	stimulus55	55	38607
33.071666666666665	0.0	CueRightOrient	129	39686
34.655	0.0	Probe2	132	41586
36.704166666666666	0.0	stimulus21	21	44045
37.586666666666666	0.0	CueLeftSF	126	45104
39.17	0.0	Probe7	138	47004
42.035	0.0	stimulus92	92	50442
42.935	0.0	CueLeftSF	126	51522
44.5675	0.0	Probe2	132	53481
46.61666666666667	0.0	stimulus14	14	55940
47.55	0.0	CueLeftOrient	127	57060
49.19916666666666	0.0	Probe2	132	59039
51.365	0.0	stimulus8	8	61638
52.248333333333335	0.0	CueLeftSF	126	62698
53.8475	0.0	Probe5	135	64617
56.163333333333334	0.0	stimulus48	48	67396
57.096666666666664	0.0	CueLeftSF	126	68516
58.69583333333333	0.0	Probe4	134	70435
61.06166666666667	0.0	stimulus75	75	73274
62.01166666666666	0.0	CueRightSF	128	74414
63.6275	0.0	Probe4	134	76353
65.86	0.0	stimulus40	40	79032
66.75916666666667	0.0	CueRightSF	128	80111
68.40916666666666	0.0	Probe7	138	82091
70.49166666666666	0.0	stimulus25	25	84590
71.39083333333333	0.0	CueLeftOrient	127	85669
73.04	0.0	Probe7	138	87648
75.09	0.0	stimulus9	9	90108
75.9725	0.0	CueLeftOrient	127	91167
77.62166666666667	0.0	Probe5	135	93146
79.72166666666666	0.0	stimulus10	10	95666
80.5875	0.0	CueRightSF	128	96705
82.17	0.0	Probe6	136	98604
84.43583333333333	0.0	stimulus40	40	101323
85.38583333333334	0.0	CueRightSF	128	102463
