onset	duration	trial_type	event_value	event_sample
7.179166666666666	0.0	stimulus6	6	8615
8.045	0.0	CueRightOrient	129	9654
9.628333333333334	0.0	Probe2	132	11554
11.544166666666667	0.0	stimulus14	14	13853
12.476666666666667	0.0	CueRightSF	128	14972
14.075833333333334	0.0	Probe8	140	16891
16.0925	0.0	stimulus84	84	19311
17.025	0.0	CueLeftOrient	127	20430
18.590833333333332	0.0	Probe8	140	22309
20.7075	0.0	stimulus40	40	24849
21.64	0.0	CueRightSF	128	25968
23.25583333333333	0.0	Probe4	134	27907
25.2225	0.0	stimulus1	1	30267
26.155	0.0	CueLeftSF	126	31386
27.770833333333332	0.0	Probe5	135	33325
30.086666666666666	0.0	stimulus64	64	36104
30.97	0.0	CueRightOrient	129	37164
32.6025	0.0	Probe2	132	39123
35.651666666666664	0.0	stimulus48	48	42782
36.58416666666667	0.0	CueLeftSF	126	43901
38.2175	0.0	Probe5	135	45861
40.2	0.0	stimulus18	18	48240
41.06583333333333	0.0	CueRightOrient	129	49279
42.66583333333333	0.0	Probe2	132	51199
44.615	0.0	stimulus125	125	53538
45.4975	0.0	CueRightSF	128	54597
47.064166666666665	0.0	Probe4	134	56477
49.11333333333334	0.0	stimulus5	5	58936
50.03	0.0	CueRightSF	128	60036
51.59583333333333	0.0	Probe2	132	61915
53.695	0.0	stimulus48	48	64434
54.560833333333335	0.0	CueLeftSF	126	65473
56.14416666666666	0.0	Probe8	140	67373
59.1925	0.0	stimulus68	68	71031
60.05916666666667	0.0	CueRightOrient	129	72071
61.625	0.0	Probe2	132	73950
63.740833333333335	0.0	stimulus44	44	76489
64.67416666666666	0.0	CueRightSF	128	77609
66.27333333333333	0.0	Probe4	134	79528
68.35583333333334	0.0	stimulus15	15	82027
69.23916666666666	0.0	CueRightSF	128	83087
70.82166666666667	0.0	Probe3	133	84986
75.30333333333333	0.0	stimulus48	48	90364
76.17	0.0	CueLeftOrient	127	91404
77.81916666666666	0.0	Probe2	132	93383
79.935	0.0	stimulus5	5	95922
80.81833333333333	0.0	CueLeftSF	126	96982
82.43416666666667	0.0	Probe4	134	98921
84.38333333333334	0.0	stimulus18	18	101260
85.26666666666667	0.0	CueRightSF	128	102320
86.84916666666666	0.0	Probe4	134	104219
88.93166666666667	0.0	stimulus20	20	106718
89.865	0.0	CueRightOrient	129	107838
91.4975	0.0	Probe2	132	109797
94.78	0.0	stimulus8	8	113736
95.7125	0.0	CueLeftOrient	127	114855
97.31166666666667	0.0	Probe8	140	116774
99.6275	0.0	stimulus32	32	119553
100.4775	0.0	CueLeftOrient	127	120573
102.06	0.0	Probe2	132	122472
104.3425	0.0	stimulus115	115	125211
105.2425	0.0	CueLeftOrient	127	126291
106.85833333333333	0.0	Probe5	135	128230
108.72416666666666	0.0	stimulus19	19	130469
109.6075	0.0	CueRightOrient	129	131529
111.24	0.0	Probe5	135	133488
113.60583333333334	0.0	stimulus95	95	136327
114.48916666666666	0.0	CueLeftOrient	127	137387
116.08833333333334	0.0	Probe5	135	139306
118.22083333333333	0.0	stimulus11	11	141865
119.10333333333334	0.0	CueLeftSF	126	142924
120.67	0.0	Probe3	133	144804
122.61916666666667	0.0	stimulus3	3	147143
123.51916666666666	0.0	CueRightOrient	129	148223
125.10166666666667	0.0	Probe1	131	150122
127.15083333333334	0.0	stimulus69	69	152581
128.0175	0.0	CueRightSF	128	153621
129.63333333333333	0.0	Probe7	138	155560
131.86583333333334	0.0	stimulus100	100	158239
132.73166666666665	0.0	CueRightOrient	129	159278
134.33166666666668	0.0	Probe6	136	161198
136.81416666666667	0.0	stimulus85	85	164177
137.69666666666666	0.0	CueRightSF	128	165236
139.33	0.0	Probe5	135	167196
141.82833333333335	0.0	stimulus36	36	170194
142.72833333333332	0.0	CueLeftOrient	127	171274
144.34416666666667	0.0	Probe7	138	173213
146.36083333333335	0.0	stimulus36	36	175633
147.22666666666666	0.0	CueLeftSF	126	176672
148.8425	0.0	Probe2	132	178611
150.825	0.0	stimulus100	100	180990
151.675	0.0	CueRightSF	128	182010
153.3075	0.0	Probe7	138	183969
155.65666666666667	0.0	stimulus52	52	186788
156.55666666666667	0.0	CueRightSF	128	187868
158.15583333333333	0.0	Probe2	132	189787
160.27166666666668	0.0	stimulus2	2	192326
161.13833333333332	0.0	CueLeftOrient	127	193366
162.7875	0.0	Probe7	138	195345
164.95333333333335	0.0	stimulus48	48	197944
165.87	0.0	CueLeftOrient	127	199044
167.4525	0.0	Probe4	134	200943
169.75166666666667	0.0	stimulus5	5	203702
170.70166666666665	0.0	CueLeftSF	126	204842
172.35083333333333	0.0	Probe4	134	206821
175.2825	0.0	stimulus17	17	210339
176.16583333333332	0.0	CueRightOrient	129	211399
177.815	0.0	Probe8	140	213378
180.7475	0.0	stimulus13	13	216897
181.6975	0.0	CueLeftSF	126	218037
183.28	0.0	Probe8	140	219936
185.8625	0.0	stimulus22	22	223035
186.745	0.0	CueRightSF	128	224094
188.36166666666668	0.0	Probe7	138	226034
190.5275	0.0	stimulus16	16	228633
191.42666666666668	0.0	CueRightOrient	129	229712
192.9925	0.0	Probe2	132	231591
195.30916666666667	0.0	stimulus27	27	234371
196.19166666666666	0.0	CueLeftSF	126	235430
197.79083333333332	0.0	Probe1	131	237349
199.84	0.0	stimulus2	2	239808
200.70666666666668	0.0	CueRightSF	128	240848
202.28916666666666	0.0	Probe4	134	242747
205.28833333333333	0.0	stimulus8	8	246346
206.205	0.0	CueRightOrient	129	247446
207.82083333333333	0.0	Probe2	132	249385
210.00333333333333	0.0	stimulus36	36	252004
210.9025	0.0	CueRightOrient	129	253083
212.5525	0.0	Probe2	132	255063
215.31833333333333	0.0	stimulus3	3	258382
216.23416666666665	0.0	CueRightOrient	129	259481
217.8	0.0	Probe2	132	261360
219.93333333333334	0.0	stimulus36	36	263920
220.84916666666666	0.0	CueLeftOrient	127	265019
222.415	0.0	Probe5	135	266898
224.68083333333334	0.0	stimulus60	60	269617
225.58083333333335	0.0	CueLeftSF	126	270697
227.19666666666666	0.0	Probe6	136	272636
229.32916666666668	0.0	stimulus12	12	275195
230.2125	0.0	CueLeftOrient	127	276255
231.795	0.0	Probe6	136	278154
234.81083333333333	0.0	stimulus3	3	281773
235.72666666666666	0.0	CueRightSF	128	282872
237.37666666666667	0.0	Probe3	133	284852
239.975	0.0	stimulus2	2	287970
240.875	0.0	CueRightSF	128	289050
242.44083333333333	0.0	Probe3	133	290929
