onset	duration	trial_type	event_value	event_sample
5.7075	0.0	stimulus14	14	6849
6.656666666666666	0.0	CueLeftOrient	127	7988
8.273333333333333	0.0	Probe4	134	9928
11.988333333333333	0.0	stimulus19	19	14386
12.905	0.0	CueLeftSF	126	15486
14.4875	0.0	Probe5	135	17385
16.67	0.0	stimulus52	52	20004
17.6025	0.0	CueRightSF	128	21123
19.219166666666666	0.0	Probe2	132	23063
21.335	0.0	stimulus51	51	25602
22.184166666666666	0.0	CueRightSF	128	26621
23.784166666666668	0.0	Probe6	136	28541
26.05	0.0	stimulus63	63	31260
26.899166666666666	0.0	CueRightSF	128	32279
28.4825	0.0	Probe8	140	34179
30.598333333333333	0.0	stimulus23	23	36718
31.530833333333334	0.0	CueLeftOrient	127	37837
33.130833333333335	0.0	Probe4	134	39757
35.196666666666665	0.0	stimulus54	54	42236
36.045833333333334	0.0	CueLeftSF	126	43255
37.66166666666667	0.0	Probe4	134	45194
41.2275	0.0	stimulus32	32	49473
42.126666666666665	0.0	CueRightOrient	129	50552
43.74333333333333	0.0	Probe6	136	52492
45.92583333333334	0.0	stimulus12	12	55111
46.80916666666667	0.0	CueRightSF	128	56171
48.40833333333333	0.0	Probe4	134	58090
50.79083333333333	0.0	stimulus27	27	60949
51.67333333333333	0.0	CueRightOrient	129	62008
53.23916666666667	0.0	Probe3	133	63887
55.4725	0.0	stimulus6	6	66567
56.405	0.0	CueRightOrient	129	67686
58.0375	0.0	Probe2	132	69645
60.75333333333333	0.0	stimulus21	21	72904
61.653333333333336	0.0	CueRightSF	128	73984
63.285833333333336	0.0	Probe8	140	75943
65.335	0.0	stimulus22	22	78402
66.26833333333333	0.0	CueRightOrient	129	79522
67.88416666666667	0.0	Probe6	136	81461
70.9	0.0	stimulus16	16	85080
71.7825	0.0	CueLeftSF	126	86139
73.365	0.0	Probe5	135	88038
75.48166666666667	0.0	stimulus34	34	90578
76.43083333333334	0.0	CueRightOrient	129	91717
77.99666666666667	0.0	Probe8	140	93596
80.12916666666666	0.0	stimulus36	36	96155
81.02916666666667	0.0	CueLeftOrient	127	97235
82.61166666666666	0.0	Probe3	133	99134
84.79416666666667	0.0	stimulus75	75	101753
85.66083333333333	0.0	CueRightOrient	129	102793
87.24333333333334	0.0	Probe2	132	104692
89.5925	0.0	stimulus14	14	107511
90.5425	0.0	CueRightSF	128	108651
92.10833333333333	0.0	Probe4	134	110530
94.9575	0.0	stimulus55	55	113949
95.90666666666667	0.0	CueRightOrient	129	115088
97.48916666666666	0.0	Probe3	133	116987
99.98916666666666	0.0	stimulus33	33	119987
100.855	0.0	CueLeftOrient	127	121026
102.4875	0.0	Probe6	136	122985
104.52083333333333	0.0	stimulus68	68	125425
105.43666666666667	0.0	CueLeftSF	126	126524
107.0025	0.0	Probe8	140	128403
109.33583333333333	0.0	stimulus50	50	131203
110.20166666666667	0.0	CueLeftSF	126	132242
111.8175	0.0	Probe1	131	134181
113.91666666666667	0.0	stimulus32	32	136700
114.86666666666666	0.0	CueLeftSF	126	137840
116.44916666666667	0.0	Probe4	134	139739
118.665	0.0	stimulus68	68	142398
119.615	0.0	CueRightOrient	129	143538
121.28083333333333	0.0	Probe4	134	145537
123.36333333333333	0.0	stimulus16	16	148036
124.28	0.0	CueRightOrient	129	149136
125.84583333333333	0.0	Probe4	134	151015
127.945	0.0	stimulus33	33	153534
128.86166666666668	0.0	CueRightSF	128	154634
130.4275	0.0	Probe4	134	156513
132.64333333333335	0.0	stimulus42	42	159172
133.52666666666667	0.0	CueRightOrient	129	160232
135.0925	0.0	Probe4	134	162111
137.19166666666666	0.0	stimulus6	6	164630
138.075	0.0	CueRightOrient	129	165690
139.72416666666666	0.0	Probe1	131	167669
141.89	0.0	stimulus16	16	170268
