onset	duration	trial_type	event_value	event_sample
8.629166666666666	0.0	stimulus30	30	10355
9.545	0.0	CueRightSF	128	11454
11.145	0.0	Probe5	135	13374
13.2275	0.0	stimulus5	5	15873
14.176666666666666	0.0	CueRightOrient	129	17012
15.7925	0.0	Probe3	133	18951
17.825833333333332	0.0	stimulus12	12	21391
18.725	0.0	CueLeftOrient	127	22470
20.374166666666667	0.0	Probe3	133	24449
22.473333333333333	0.0	stimulus100	100	26968
23.34	0.0	CueRightOrient	129	28008
24.989166666666666	0.0	Probe7	138	29987
27.038333333333334	0.0	stimulus88	88	32446
27.988333333333333	0.0	CueLeftSF	126	33586
29.620833333333334	0.0	Probe4	134	35545
31.753333333333334	0.0	stimulus36	36	38104
32.653333333333336	0.0	CueLeftSF	126	39184
34.23583333333333	0.0	Probe7	138	41083
36.718333333333334	0.0	stimulus55	55	44062
37.635	0.0	CueLeftSF	126	45162
39.284166666666664	0.0	Probe4	134	47141
41.833333333333336	0.0	stimulus4	4	50200
42.7325	0.0	CueRightOrient	129	51279
44.365833333333335	0.0	Probe7	138	53239
47.0975	0.0	stimulus115	115	56517
47.964166666666664	0.0	CueLeftSF	126	57557
49.61333333333334	0.0	Probe5	135	59536
51.49666666666667	0.0	stimulus4	4	61796
52.4125	0.0	CueRightSF	128	62895
53.995	0.0	Probe4	134	64794
57.86083333333333	0.0	stimulus12	12	69433
58.72666666666667	0.0	CueLeftOrient	127	70472
60.30916666666667	0.0	Probe2	132	72371
66.24083333333333	0.0	stimulus36	36	79489
67.15666666666667	0.0	CueRightOrient	129	80588
68.80666666666667	0.0	Probe1	131	82568
70.9225	0.0	stimulus38	38	85107
71.78833333333333	0.0	CueRightOrient	129	86146
73.42166666666667	0.0	Probe8	140	88106
75.55416666666666	0.0	stimulus7	7	90665
76.48666666666666	0.0	CueRightSF	128	91784
78.0525	0.0	Probe7	138	93663
80.28583333333333	0.0	stimulus12	12	96343
81.20166666666667	0.0	CueRightSF	128	97442
82.78416666666666	0.0	Probe7	138	99341
84.88416666666667	0.0	stimulus24	24	101861
85.83333333333333	0.0	CueRightSF	128	103000
87.4825	0.0	Probe4	134	104979
90.165	0.0	stimulus40	40	108198
91.03166666666667	0.0	CueRightSF	128	109238
92.63083333333333	0.0	Probe8	140	111157
94.63	0.0	stimulus120	120	113556
95.54666666666667	0.0	CueRightOrient	129	114656
97.12916666666666	0.0	Probe6	136	116555
99.32833333333333	0.0	stimulus30	30	119194
100.26166666666667	0.0	CueLeftSF	126	120314
101.89416666666666	0.0	Probe2	132	122273
105.1425	0.0	stimulus100	100	126171
106.07583333333334	0.0	CueRightOrient	129	127291
107.69166666666666	0.0	Probe8	140	129230
110.02416666666667	0.0	stimulus72	72	132029
110.87416666666667	0.0	CueRightSF	128	133049
112.44	0.0	Probe7	138	134928
115.30583333333334	0.0	stimulus12	12	138367
116.255	0.0	CueRightOrient	129	139506
117.87166666666667	0.0	Probe2	132	141446
119.97083333333333	0.0	stimulus120	120	143965
120.90416666666667	0.0	CueLeftOrient	127	145085
122.51916666666666	0.0	Probe4	134	147023
124.78583333333333	0.0	stimulus9	9	149743
125.70166666666667	0.0	CueLeftSF	126	150842
127.2675	0.0	Probe3	133	152721
130.51666666666668	0.0	stimulus23	23	156620
131.43333333333334	0.0	CueLeftSF	126	157720
133.04916666666668	0.0	Probe4	134	159659
135.015	0.0	stimulus12	12	162018
135.89833333333334	0.0	CueRightOrient	129	163078
137.51416666666665	0.0	Probe1	131	165017
140.16333333333333	0.0	stimulus2	2	168196
141.09583333333333	0.0	CueRightSF	128	169315
142.7125	0.0	Probe1	131	171255
145.59416666666667	0.0	stimulus84	84	174713
146.4775	0.0	CueRightSF	128	175773
148.11	0.0	Probe2	132	177732
150.30916666666667	0.0	stimulus85	85	180371
151.2425	0.0	CueRightSF	128	181491
152.875	0.0	Probe1	131	183450
155.69083333333333	0.0	stimulus51	51	186829
156.59083333333334	0.0	CueRightOrient	129	187909
158.15666666666667	0.0	Probe5	135	189788
160.18916666666667	0.0	stimulus8	8	192227
161.07166666666666	0.0	CueLeftSF	126	193286
162.68833333333333	0.0	Probe8	140	195226
164.8375	0.0	stimulus48	48	197805
165.70333333333335	0.0	CueRightOrient	129	198844
167.33666666666667	0.0	Probe5	135	200804
169.41916666666665	0.0	stimulus84	84	203303
170.30166666666668	0.0	CueLeftSF	126	204362
171.95083333333332	0.0	Probe7	138	206341
174.15083333333334	0.0	stimulus88	88	208981
175.08333333333334	0.0	CueLeftSF	126	210100
176.7325	0.0	Probe6	136	212079
179.14833333333334	0.0	stimulus63	63	214978
180.065	0.0	CueRightOrient	129	216078
181.71416666666667	0.0	Probe4	134	218057
185.7625	0.0	stimulus95	95	222915
186.64583333333334	0.0	CueRightOrient	129	223975
188.22833333333332	0.0	Probe4	134	225874
190.36083333333335	0.0	stimulus25	25	228433
191.2775	0.0	CueRightOrient	129	229533
192.89333333333335	0.0	Probe4	134	231472
195.5425	0.0	stimulus88	88	234651
196.42583333333334	0.0	CueLeftOrient	127	235711
198.025	0.0	Probe4	134	237630
200.44083333333333	0.0	stimulus20	20	240529
201.32333333333332	0.0	CueRightOrient	129	241588
202.90666666666667	0.0	Probe1	131	243488
205.78833333333333	0.0	stimulus60	60	246946
206.67166666666665	0.0	CueRightOrient	129	248006
208.2875	0.0	Probe5	135	249945
211.52	0.0	stimulus36	36	253824
212.38666666666666	0.0	CueLeftSF	126	254864
213.96916666666667	0.0	Probe1	131	256763
216.635	0.0	stimulus76	76	259962
217.5675	0.0	CueRightOrient	129	261081
219.16666666666666	0.0	Probe3	133	263000
222.34916666666666	0.0	stimulus28	28	266819
223.2325	0.0	CueLeftSF	126	267879
224.83166666666668	0.0	Probe8	140	269798
227.4475	0.0	stimulus46	46	272937
228.34666666666666	0.0	CueLeftOrient	127	274016
229.94583333333333	0.0	Probe4	134	275935
233.095	0.0	stimulus60	60	279714
234.02833333333334	0.0	CueLeftSF	126	280834
235.61083333333335	0.0	Probe1	131	282733
239.65916666666666	0.0	stimulus76	76	287591
240.60916666666665	0.0	CueLeftSF	126	288731
242.275	0.0	Probe3	133	290730
244.37416666666667	0.0	stimulus48	48	293249
245.27416666666667	0.0	CueRightOrient	129	294329
246.84	0.0	Probe6	136	296208
248.95583333333335	0.0	stimulus76	76	298747
249.83916666666667	0.0	CueLeftSF	126	299807
251.47166666666666	0.0	Probe1	131	301766
253.65416666666667	0.0	stimulus21	21	304385
254.5875	0.0	CueRightSF	128	305505
256.22	0.0	Probe2	132	307464
260.085	0.0	stimulus76	76	312102
260.9675	0.0	CueRightSF	128	313161
262.58416666666665	0.0	Probe2	132	315101
264.6666666666667	0.0	stimulus110	110	317600
265.6	0.0	CueRightSF	128	318720
267.2325	0.0	Probe2	132	320679
273.93	0.0	stimulus2	2	328716
274.81333333333333	0.0	CueLeftOrient	127	329776
276.4458333333333	0.0	Probe2	132	331735
278.545	0.0	stimulus15	15	334254
279.41083333333336	0.0	CueLeftSF	126	335293
280.9775	0.0	Probe8	140	337173
283.2266666666667	0.0	stimulus70	70	339872
284.12583333333333	0.0	CueLeftSF	126	340951
285.70916666666665	0.0	Probe4	134	342851
288.10833333333335	0.0	stimulus27	27	345730
289.02416666666664	0.0	CueRightOrient	129	346829
290.6066666666667	0.0	Probe6	136	348728
293.7725	0.0	stimulus120	120	352527
294.7058333333333	0.0	CueRightOrient	129	353647
296.28833333333336	0.0	Probe4	134	355546
300.1533333333333	0.0	stimulus17	17	360184
301.07	0.0	CueLeftOrient	127	361284
302.6358333333333	0.0	Probe2	132	363163
304.935	0.0	stimulus19	19	365922
305.8175	0.0	CueRightSF	128	366981
307.43416666666667	0.0	Probe2	132	368921
