onset	duration	trial_type	event_value	event_sample
7.358333333333333	0.0	stimulus52	52	8830
8.258333333333333	0.0	CueRightSF	128	9910
9.890833333333333	0.0	Probe5	135	11869
12.106666666666667	0.0	stimulus36	36	14528
12.973333333333333	0.0	CueRightSF	128	15568
14.589166666666667	0.0	Probe7	138	17507
16.788333333333334	0.0	stimulus4	4	20146
17.705	0.0	CueRightSF	128	21246
19.354166666666668	0.0	Probe2	132	23225
21.636666666666667	0.0	stimulus50	50	25964
22.52	0.0	CueRightSF	128	27024
24.085833333333333	0.0	Probe3	133	28903
26.235	0.0	stimulus12	12	31482
27.118333333333332	0.0	CueRightOrient	129	32542
28.7675	0.0	Probe4	134	34521
30.883333333333333	0.0	stimulus25	25	37060
31.8325	0.0	CueRightSF	128	38199
33.48166666666667	0.0	Probe2	132	40178
35.681666666666665	0.0	stimulus4	4	42818
36.61416666666667	0.0	CueRightSF	128	43937
38.23	0.0	Probe4	134	45876
40.21333333333333	0.0	stimulus5	5	48256
41.09583333333333	0.0	CueRightSF	128	49315
42.72833333333333	0.0	Probe2	132	51274
44.66166666666667	0.0	stimulus22	22	53594
45.5275	0.0	CueLeftSF	126	54633
47.14416666666666	0.0	Probe5	135	56573
49.42666666666667	0.0	stimulus60	60	59312
50.30916666666667	0.0	CueRightOrient	129	60371
51.94166666666667	0.0	Probe1	131	62330
55.1575	0.0	stimulus48	48	66189
56.04083333333333	0.0	CueLeftOrient	127	67249
57.623333333333335	0.0	Probe1	131	69148
59.7225	0.0	stimulus15	15	71667
60.60583333333334	0.0	CueRightOrient	129	72727
62.18833333333333	0.0	Probe4	134	74626
64.35416666666667	0.0	stimulus9	9	77225
65.2875	0.0	CueLeftSF	126	78345
66.92	0.0	Probe6	136	80304
69.1525	0.0	stimulus15	15	82983
70.06833333333333	0.0	CueLeftOrient	127	84082
71.635	0.0	Probe2	132	85962
73.9675	0.0	stimulus56	56	88761
74.85	0.0	CueRightSF	128	89820
76.41583333333334	0.0	Probe2	132	91699
78.6825	0.0	stimulus16	16	94419
79.615	0.0	CueLeftOrient	127	95538
81.2475	0.0	Probe8	140	97497
83.24666666666667	0.0	stimulus11	11	99896
84.11333333333333	0.0	CueRightSF	128	100936
85.7625	0.0	Probe2	132	102915
87.745	0.0	stimulus96	96	105294
88.67833333333333	0.0	CueRightOrient	129	106414
90.26083333333334	0.0	Probe8	140	108313
92.37666666666667	0.0	stimulus27	27	110852
93.24333333333334	0.0	CueRightSF	128	111892
94.8925	0.0	Probe6	136	113871
97.025	0.0	stimulus10	10	116430
97.975	0.0	CueLeftOrient	127	117570
99.5575	0.0	Probe6	136	119469
101.90666666666667	0.0	stimulus30	30	122288
102.84	0.0	CueLeftOrient	127	123408
104.40583333333333	0.0	Probe5	135	125287
106.48833333333333	0.0	stimulus60	60	127786
107.405	0.0	CueRightSF	128	128886
108.97083333333333	0.0	Probe8	140	130765
111.00333333333333	0.0	stimulus18	18	133204
111.88666666666667	0.0	CueLeftOrient	127	134264
113.51916666666666	0.0	Probe4	134	136223
115.75166666666667	0.0	stimulus80	80	138902
116.65166666666667	0.0	CueLeftOrient	127	139982
118.2675	0.0	Probe2	132	141921
120.58333333333333	0.0	stimulus30	30	144700
121.4325	0.0	CueRightSF	128	145719
123.04916666666666	0.0	Probe5	135	147659
125.315	0.0	stimulus6	6	150378
126.2475	0.0	CueRightOrient	129	151497
127.88083333333333	0.0	Probe2	132	153457
129.93	0.0	stimulus42	42	155916
130.87916666666666	0.0	CueRightSF	128	157055
132.46166666666667	0.0	Probe7	138	158954
134.69416666666666	0.0	stimulus21	21	161633
135.64416666666668	0.0	CueRightOrient	129	162773
137.24333333333334	0.0	Probe6	136	164692
139.75916666666666	0.0	stimulus3	3	167711
140.62583333333333	0.0	CueLeftSF	126	168751
142.20833333333334	0.0	Probe4	134	170650
144.27416666666667	0.0	stimulus45	45	173129
145.22416666666666	0.0	CueLeftSF	126	174269
146.80666666666667	0.0	Probe4	134	176168
149.7725	0.0	stimulus48	48	179727
150.655	0.0	CueRightSF	128	180786
152.23833333333334	0.0	Probe2	132	182686
154.37083333333334	0.0	stimulus25	25	185245
155.30333333333334	0.0	CueRightSF	128	186364
156.88583333333332	0.0	Probe2	132	188263
159.21916666666667	0.0	stimulus115	115	191063
160.15166666666667	0.0	CueRightOrient	129	192182
161.75083333333333	0.0	Probe4	134	194101
163.81666666666666	0.0	stimulus60	60	196580
164.7	0.0	CueLeftSF	126	197640
166.3325	0.0	Probe2	132	199599
168.48166666666665	0.0	stimulus120	120	202178
169.365	0.0	CueLeftSF	126	203238
170.96416666666667	0.0	Probe4	134	205157
173.01333333333332	0.0	stimulus9	9	207616
173.88	0.0	CueRightOrient	129	208656
175.5125	0.0	Probe4	134	210615
177.595	0.0	stimulus92	92	213114
178.46166666666667	0.0	CueRightOrient	129	214154
180.09416666666667	0.0	Probe5	135	216113
183.49333333333334	0.0	stimulus66	66	220192
184.37583333333333	0.0	CueRightOrient	129	221251
185.95833333333334	0.0	Probe2	132	223150
188.20833333333334	0.0	stimulus26	26	225850
189.07416666666666	0.0	CueLeftOrient	127	226889
190.70666666666668	0.0	Probe2	132	228848
194.80583333333334	0.0	stimulus10	10	233767
195.73833333333334	0.0	CueLeftOrient	127	234886
197.3375	0.0	Probe7	138	236805
206.01833333333335	0.0	stimulus60	60	247222
206.95083333333332	0.0	CueRightOrient	129	248341
208.55	0.0	Probe2	132	250260
210.51666666666668	0.0	stimulus11	11	252620
211.36583333333334	0.0	CueLeftOrient	127	253639
212.9825	0.0	Probe7	138	255579
215.48083333333332	0.0	stimulus72	72	258577
216.38083333333333	0.0	CueRightSF	128	259657
217.99666666666667	0.0	Probe2	132	261596
220.02916666666667	0.0	stimulus125	125	264035
220.97916666666666	0.0	CueRightSF	128	265175
222.595	0.0	Probe6	136	267114
225.44416666666666	0.0	stimulus42	42	270533
226.34333333333333	0.0	CueRightSF	128	271612
227.91	0.0	Probe8	140	273492
230.5925	0.0	stimulus6	6	276711
231.475	0.0	CueRightSF	128	277770
233.04083333333332	0.0	Probe5	135	279649
235.20666666666668	0.0	stimulus48	48	282248
236.07333333333332	0.0	CueRightOrient	129	283288
237.70583333333335	0.0	Probe3	133	285247
239.88833333333332	0.0	stimulus15	15	287866
240.82166666666666	0.0	CueRightSF	128	288986
242.45416666666668	0.0	Probe5	135	290945
244.72	0.0	stimulus1	1	293664
245.63666666666666	0.0	CueRightSF	128	294764
247.28583333333333	0.0	Probe5	135	296743
250.30166666666668	0.0	stimulus42	42	300362
251.23416666666665	0.0	CueLeftOrient	127	301481
252.80083333333334	0.0	Probe1	131	303361
254.83333333333334	0.0	stimulus51	51	305800
255.76583333333335	0.0	CueRightSF	128	306919
257.33166666666665	0.0	Probe2	132	308798
259.3983333333333	0.0	stimulus36	36	311278
260.31416666666667	0.0	CueLeftSF	126	312377
261.96416666666664	0.0	Probe8	140	314357
264.08	0.0	stimulus60	60	316896
264.9791666666667	0.0	CueRightSF	128	317975
266.5783333333333	0.0	Probe2	132	319894
268.7941666666667	0.0	stimulus90	90	322553
269.6775	0.0	CueRightSF	128	323613
271.31	0.0	Probe2	132	325572
273.6091666666667	0.0	stimulus88	88	328331
274.47583333333336	0.0	CueRightOrient	129	329371
276.05833333333334	0.0	Probe2	132	331270
278.29083333333335	0.0	stimulus50	50	333949
279.24083333333334	0.0	CueLeftSF	126	335089
280.89	0.0	Probe7	138	337068
283.1725	0.0	stimulus39	39	339807
284.1225	0.0	CueRightOrient	129	340947
285.77166666666665	0.0	Probe6	136	342926
