onset	duration	trial_type	event_value	event_sample
5.2625	0.0	stimulus2	2	6315
6.128333333333333	0.0	CueLeftOrient	127	7354
7.7283333333333335	0.0	Probe6	136	9274
9.944166666666666	0.0	stimulus30	30	11933
10.843333333333334	0.0	CueLeftOrient	127	13012
12.459166666666667	0.0	Probe4	134	14951
14.509166666666667	0.0	stimulus34	34	17411
15.441666666666666	0.0	CueRightOrient	129	18530
17.0575	0.0	Probe2	132	20469
19.124166666666667	0.0	stimulus6	6	22949
20.073333333333334	0.0	CueRightOrient	129	24088
21.655833333333334	0.0	Probe5	135	25987
23.838333333333335	0.0	stimulus14	14	28606
24.721666666666668	0.0	CueRightSF	128	29666
26.2875	0.0	Probe3	133	31545
28.32	0.0	stimulus21	21	33984
29.27	0.0	CueRightSF	128	35124
30.835833333333333	0.0	Probe3	133	37003
32.95166666666667	0.0	stimulus6	6	39542
33.86833333333333	0.0	CueRightSF	128	40642
35.48416666666667	0.0	Probe2	132	42581
37.55	0.0	stimulus15	15	45060
38.45	0.0	CueLeftSF	126	46140
40.0825	0.0	Probe1	131	48099
41.965	0.0	stimulus12	12	50358
42.89833333333333	0.0	CueRightSF	128	51478
44.464166666666664	0.0	Probe4	134	53357
46.54666666666667	0.0	stimulus23	23	55856
47.48	0.0	CueRightSF	128	56976
49.1125	0.0	Probe6	136	58935
51.195	0.0	stimulus48	48	61434
52.145	0.0	CueRightOrient	129	62574
53.7275	0.0	Probe8	140	64473
55.96	0.0	stimulus125	125	67152
56.85916666666667	0.0	CueLeftOrient	127	68231
58.509166666666665	0.0	Probe2	132	70211
60.541666666666664	0.0	stimulus11	11	72650
61.475	0.0	CueRightSF	128	73770
63.1075	0.0	Probe4	134	75729
66.1725	0.0	stimulus48	48	79407
67.0725	0.0	CueLeftOrient	127	80487
68.63833333333334	0.0	Probe4	134	82366
70.77083333333333	0.0	stimulus9	9	84925
71.65416666666667	0.0	CueLeftOrient	127	85985
73.22	0.0	Probe4	134	87864
76.4025	0.0	stimulus27	27	91683
77.28583333333333	0.0	CueLeftOrient	127	92743
78.91833333333334	0.0	Probe2	132	94702
80.98416666666667	0.0	stimulus14	14	97181
81.86666666666666	0.0	CueLeftOrient	127	98240
83.45	0.0	Probe4	134	100140
85.3325	0.0	stimulus48	48	102399
86.215	0.0	CueLeftSF	126	103458
87.815	0.0	Probe3	133	105378
90.16416666666667	0.0	stimulus27	27	108197
91.08	0.0	CueLeftSF	126	109296
92.66333333333333	0.0	Probe4	134	111196
95.76166666666667	0.0	stimulus3	3	114914
96.62833333333333	0.0	CueRightOrient	129	115954
98.19416666666666	0.0	Probe4	134	117833
100.32666666666667	0.0	stimulus48	48	120392
101.22666666666667	0.0	CueLeftSF	126	121472
102.7925	0.0	Probe3	133	123351
104.85833333333333	0.0	stimulus9	9	125830
105.80833333333334	0.0	CueLeftSF	126	126970
107.39083333333333	0.0	Probe1	131	128869
109.55666666666667	0.0	stimulus105	105	131468
110.4725	0.0	CueRightSF	128	132567
112.1225	0.0	Probe1	131	134547
114.205	0.0	stimulus46	46	137046
115.105	0.0	CueRightOrient	129	138126
116.6875	0.0	Probe2	132	140025
118.95333333333333	0.0	stimulus12	12	142744
119.83583333333333	0.0	CueLeftOrient	127	143803
121.41916666666667	0.0	Probe5	135	145703
123.50166666666667	0.0	stimulus51	51	148202
124.4175	0.0	CueRightOrient	129	149301
125.98416666666667	0.0	Probe4	134	151181
128.6325	0.0	stimulus80	80	154359
129.49916666666667	0.0	CueRightOrient	129	155399
131.08166666666668	0.0	Probe3	133	157298
133.48083333333332	0.0	stimulus68	68	160177
134.38083333333333	0.0	CueLeftSF	126	161257
135.96333333333334	0.0	Probe5	135	163156
137.97916666666666	0.0	stimulus20	20	165575
138.8625	0.0	CueRightSF	128	166635
140.47833333333332	0.0	Probe3	133	168574
144.37666666666667	0.0	stimulus40	40	173252
145.26	0.0	CueLeftOrient	127	174312
146.8925	0.0	Probe1	131	176271
149.09166666666667	0.0	stimulus4	4	178910
149.975	0.0	CueLeftSF	126	179970
151.54083333333332	0.0	Probe2	132	181849
154.44	0.0	stimulus20	20	185328
155.30666666666667	0.0	CueLeftSF	126	186368
156.93916666666667	0.0	Probe4	134	188327
159.005	0.0	stimulus5	5	190806
159.92166666666665	0.0	CueLeftSF	126	191906
161.52083333333334	0.0	Probe5	135	193825
163.80333333333334	0.0	stimulus22	22	196564
164.66916666666665	0.0	CueRightOrient	129	197603
166.2525	0.0	Probe7	138	199503
168.51833333333335	0.0	stimulus19	19	202222
169.4675	0.0	CueRightSF	128	203361
171.03416666666666	0.0	Probe1	131	205241
173.84916666666666	0.0	stimulus10	10	208619
174.7825	0.0	CueRightOrient	129	209739
176.43166666666667	0.0	Probe4	134	211718
178.61416666666668	0.0	stimulus19	19	214337
179.53083333333333	0.0	CueRightOrient	129	215437
181.09666666666666	0.0	Probe4	134	217316
183.1625	0.0	stimulus60	60	219795
184.0125	0.0	CueRightSF	128	220815
185.595	0.0	Probe4	134	222714
187.61083333333335	0.0	stimulus28	28	225133
188.56083333333333	0.0	CueRightOrient	129	226273
190.17666666666668	0.0	Probe7	138	228212
192.32583333333332	0.0	stimulus18	18	230791
193.1925	0.0	CueLeftSF	126	231831
194.79166666666666	0.0	Probe6	136	233750
196.99083333333334	0.0	stimulus50	50	236389
197.9075	0.0	CueRightOrient	129	237489
199.47333333333333	0.0	Probe4	134	239368
201.60583333333332	0.0	stimulus18	18	241927
202.48833333333334	0.0	CueLeftOrient	127	242986
204.07166666666666	0.0	Probe3	133	244886
206.1375	0.0	stimulus10	10	247365
207.05333333333334	0.0	CueRightOrient	129	248464
208.62	0.0	Probe3	133	250344
210.61916666666667	0.0	stimulus8	8	252743
211.50166666666667	0.0	CueLeftOrient	127	253802
