onset	duration	trial_type	event_value	event_sample
11.204166666666667	0.0	stimulus45	45	13445
12.091666666666667	0.0	CueLeftSF	126	14510
13.721666666666666	0.0	Probe4	134	16466
15.918333333333333	0.0	stimulus45	45	19102
16.800833333333333	0.0	CueLeftSF	126	20161
18.37	0.0	Probe2	132	22044
20.466666666666665	0.0	stimulus65	65	24560
21.3825	0.0	CueRightOrient	129	25659
23.048333333333332	0.0	Probe2	132	27658
27.364166666666666	0.0	stimulus38	38	32837
28.313333333333333	0.0	CueLeftOrient	127	33976
29.895833333333332	0.0	Probe5	135	35875
33.32833333333333	0.0	stimulus20	20	39994
34.245	0.0	CueLeftSF	126	41094
35.844166666666666	0.0	Probe4	134	43013
41.74166666666667	0.0	stimulus6	6	50090
42.65833333333333	0.0	CueLeftOrient	127	51190
44.274166666666666	0.0	Probe1	131	53129
121.51166666666667	0.0	stimulus69	69	145814
122.445	0.0	CueRightSF	128	146934
124.0275	0.0	Probe8	140	148833
127.46	0.0	stimulus18	18	152952
128.34333333333333	0.0	CueLeftOrient	127	154012
129.97583333333333	0.0	Probe7	138	155971
134.6075	0.0	stimulus45	45	161529
135.49	0.0	CueLeftOrient	127	162588
137.1225	0.0	Probe4	134	164547
228.13916666666665	0.0	stimulus95	95	273767
229.07166666666666	0.0	CueRightOrient	129	274886
230.63833333333332	0.0	Probe4	134	276766
232.85416666666666	0.0	stimulus6	6	279425
233.77	0.0	CueLeftOrient	127	280524
235.40333333333334	0.0	Probe2	132	282484
237.46916666666667	0.0	stimulus25	25	284963
238.41833333333332	0.0	CueRightSF	128	286102
239.98416666666665	0.0	Probe1	131	287981
242.2175	0.0	stimulus13	13	290661
243.11666666666667	0.0	CueRightSF	128	291740
244.71583333333334	0.0	Probe4	134	293659
246.81583333333333	0.0	stimulus42	42	296179
247.765	0.0	CueLeftSF	126	297318
249.3475	0.0	Probe3	133	299217
253.59583333333333	0.0	stimulus50	50	304315
254.52916666666667	0.0	CueLeftSF	126	305435
256.1116666666667	0.0	Probe5	135	307334
258.19416666666666	0.0	stimulus28	28	309833
259.1275	0.0	CueRightOrient	129	310953
260.7266666666667	0.0	Probe4	134	312872
263.95916666666665	0.0	stimulus63	63	316751
264.8591666666667	0.0	CueRightSF	128	317831
266.475	0.0	Probe7	138	319770
268.8908333333333	0.0	stimulus34	34	322669
269.75666666666666	0.0	CueRightOrient	129	323708
271.3725	0.0	Probe2	132	325647
273.3225	0.0	stimulus35	35	327987
274.27166666666665	0.0	CueRightOrient	129	329126
275.9216666666667	0.0	Probe8	140	331106
278.92	0.0	stimulus76	76	334704
279.85333333333335	0.0	CueLeftSF	126	335824
281.4525	0.0	Probe1	131	337743
283.5516666666667	0.0	stimulus12	12	340262
284.435	0.0	CueLeftSF	126	341322
286.0341666666667	0.0	Probe4	134	343241
289.1166666666667	0.0	stimulus7	7	346940
290.06583333333333	0.0	CueRightSF	128	348079
291.63166666666666	0.0	Probe3	133	349958
293.6816666666667	0.0	stimulus40	40	352418
294.5975	0.0	CueRightSF	128	353517
296.24666666666667	0.0	Probe7	138	355496
298.4458333333333	0.0	stimulus24	24	358135
299.3958333333333	0.0	CueLeftSF	126	359275
301.045	0.0	Probe2	132	361254
303.1775	0.0	stimulus70	70	363813
304.06083333333333	0.0	CueLeftSF	126	364873
305.6933333333333	0.0	Probe8	140	366832
307.8425	0.0	stimulus48	48	369411
308.70916666666665	0.0	CueLeftSF	126	370451
310.325	0.0	Probe7	138	372390
312.4075	0.0	stimulus14	14	374889
313.3408333333333	0.0	CueRightOrient	129	376009
314.97333333333336	0.0	Probe2	132	377968
316.93916666666667	0.0	stimulus51	51	380327
317.80583333333334	0.0	CueLeftOrient	127	381367
319.455	0.0	Probe1	131	383346
321.5208333333333	0.0	stimulus63	63	385825
322.42083333333335	0.0	CueRightOrient	129	386905
323.9866666666667	0.0	Probe6	136	388784
326.3691666666667	0.0	stimulus40	40	391643
327.3025	0.0	CueLeftOrient	127	392763
328.91833333333335	0.0	Probe4	134	394702
331.8675	0.0	stimulus55	55	398241
332.75	0.0	CueRightSF	128	399300
334.39916666666664	0.0	Probe4	134	401279
337.58166666666665	0.0	stimulus45	45	405098
338.48083333333335	0.0	CueLeftOrient	127	406177
340.1308333333333	0.0	Probe4	134	408157
342.38	0.0	stimulus66	66	410856
343.29583333333335	0.0	CueRightSF	128	411955
344.9458333333333	0.0	Probe7	138	413935
347.06166666666667	0.0	stimulus3	3	416474
347.9275	0.0	CueRightOrient	129	417513
349.5441666666667	0.0	Probe4	134	419453
351.4266666666667	0.0	stimulus21	21	421712
352.30916666666667	0.0	CueLeftSF	126	422771
353.8925	0.0	Probe8	140	424671
356.375	0.0	stimulus55	55	427650
357.27416666666664	0.0	CueRightSF	128	428729
358.8566666666667	0.0	Probe6	136	430628
361.08916666666664	0.0	stimulus10	10	433307
362.0391666666667	0.0	CueLeftSF	126	434447
363.655	0.0	Probe8	140	436386
